year,round,grand_prix,available_compounds,yellow_flag_laps,safety_car_laps,virtual_safety_car_laps,red_flag_laps,total_laps
2018,1,Australian Grand Prix,"['ULTRASOFT', 'SUPERSOFT', 'SOFT']","[5, 6, 7, 10, 23, 24, 25]","[27, 28, 29, 30, 31]","[25, 26, 27]",[],58
2018,2,Bahrain Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[1, 2, 4, 5, 6, 10, 11, 27, 39, 40]",[],"[2, 3, 4]",[],57
2018,3,Chinese Grand Prix,"['ULTRASOFT', 'SOFT', 'MEDIUM']","[30, 43]","[31, 32, 33, 34, 35]",[],[],56
2018,4,Azerbaijan Grand Prix,"['ULTRASOFT', 'SUPERSOFT', 'SOFT']","[1, 10, 11, 15, 18, 20, 40, 49]","[1, 2, 3, 4, 5, 40, 41, 42, 43, 44, 45, 46, 47]",[],[],51
2018,5,Spanish Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[1, 40, 41]","[1, 2, 3, 4, 5, 6]","[40, 41]",[],66
2018,6,Monaco Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']","[1, 2, 13, 53, 72, 73]",[],"[72, 73]",[],78
2018,7,Canadian Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']",[1],"[1, 2, 3, 4]",[],[],70
2018,8,French Grand Prix,"['ULTRASOFT', 'SUPERSOFT', 'SOFT']","[1, 6, 50, 51, 52, 53]","[1, 2, 3, 4, 5]","[51, 52]",[],53
2018,9,Austrian Grand Prix,"['ULTRASOFT', 'SUPERSOFT', 'SOFT']","[2, 12, 14, 15, 16, 53, 54, 55, 56, 62, 63]",[],"[15, 16]",[],71
2018,10,British Grand Prix,"['SOFT', 'MEDIUM', 'HARD']","[1, 2, 3, 19, 20, 32, 38, 46, 47, 48]","[32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",[],[],52
2018,11,German Grand Prix,"['ULTRASOFT', 'SOFT', 'MEDIUM']","[28, 29, 47, 48, 49, 50, 51]","[51, 52, 53, 54, 55, 56, 57]",[],[],67
2018,12,Hungarian Grand Prix,"['ULTRASOFT', 'SOFT', 'MEDIUM']","[6, 7, 50, 51]",[],"[6, 7, 50, 51]",[],70
2018,13,Belgian Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[1, 44]","[1, 2, 3, 4]",[],[],44
2018,14,Italian Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[1, 2, 24, 25, 26]","[2, 3]","[1, 2]",[],53
2018,15,Singapore Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SOFT']",[1],"[1, 2, 3, 4]",[],[],61
2018,16,Russian Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']","[1, 4]",[],[],[],53
2018,17,Japanese Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[8, 39, 40, 41]","[4, 5, 6, 7]","[40, 41]",[],53
2018,18,United States Grand Prix,"['ULTRASOFT', 'SUPERSOFT', 'SOFT']","[1, 3, 9, 10, 11]",[],"[10, 11]",[],56
2018,19,Mexican Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']","[4, 5, 29, 31, 61]",[],"[5, 29, 30, 31, 61]",[],71
2018,20,Brazilian Grand Prix,"['SUPERSOFT', 'SOFT', 'MEDIUM']","[21, 43]",[],[],[],71
2018,21,Abu Dhabi Grand Prix,"['HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']","[1, 7, 8, 48, 49]","[1, 2, 3, 4]","[7, 8]",[],55
2019,1,Australian Grand Prix,"['C4', 'C3', 'C2']","[1, 31]",[],[],[],58
2019,2,Bahrain Grand Prix,"['C3', 'C2', 'C1']","[1, 2, 4, 6, 12, 37, 40, 42, 54]","[55, 56, 57]",[],[],57
2019,3,Chinese Grand Prix,"['C4', 'C3', 'C2']","[1, 2]",[],"[1, 2]",[],56
2019,4,Azerbaijan Grand Prix,"['C4', 'C3', 'C2']","[31, 32, 39, 40]",[],"[39, 40]",[],51
2019,5,Spanish Grand Prix,"['C3', 'C2', 'C1']","[1, 45]","[45, 46, 47, 48, 49, 50, 51, 52]",[],[],66
2019,6,Monaco Grand Prix,"['C5', 'C4', 'C3']","[1, 6, 8, 9, 10, 15, 16, 41, 78]","[10, 11, 12, 13, 14]",[],[],78
2019,7,Canadian Grand Prix,"['C5', 'C4', 'C3']","[1, 9, 10, 11, 12, 13, 30, 31]",[],[],[],70
2019,8,French Grand Prix,"['C4', 'C3', 'C2']","[22, 35, 48, 49]",[],[49],[],53
2019,9,Austrian Grand Prix,"['C4', 'C3', 'C2']",[],[],[],[],71
2019,10,British Grand Prix,"['C3', 'C2', 'C1']","[19, 20, 26, 27, 37]","[20, 21, 22, 23]",[],[],52
2019,11,German Grand Prix,"['C4', 'C3', 'C2']","[14, 15, 18, 26, 27, 28, 40, 41, 53, 57]","[2, 3, 4, 28, 29, 30, 31, 32, 33, 41, 42, 43, 44, 45, 57, 58, 59]","[15, 27, 28]",[],64
2019,12,Hungarian Grand Prix,"['C4', 'C3', 'C2']",[2],[],[],[],70
2019,13,Belgian Grand Prix,"['C3', 'C2', 'C1']","[1, 43, 44]","[1, 2, 3, 4]",[],[],44
2019,14,Italian Grand Prix,"['C4', 'C3', 'C2']","[1, 3, 6, 28, 30]",[],"[28, 30]",[],53
2019,15,Singapore Grand Prix,"['C5', 'C4', 'C3']","[35, 36, 44, 50]","[36, 37, 38, 39, 40, 44, 45, 46, 47, 50, 51]",[],[],61
2019,16,Russian Grand Prix,"['C4', 'C3', 'C2']","[1, 27, 28, 29]","[1, 2, 3, 29, 30, 31, 32]","[27, 28]",[],53
2019,17,Japanese Grand Prix,"['C3', 'C2', 'C1']","[4, 52, 53]",[],[],[],53
2019,18,Mexican Grand Prix,"['C4', 'C3', 'C2']","[2, 3, 5]",[],"[1, 2]",[],71
2019,19,United States Grand Prix,"['C4', 'C3', 'C2']","[8, 9, 54, 55, 56]",[],[],[],56
2019,20,Brazilian Grand Prix,"['C3', 'C2', 'C1']","[8, 51, 52, 53, 70]","[53, 54, 55, 56, 57, 58, 59, 66, 67, 68, 69]",[],[],71
2019,21,Abu Dhabi Grand Prix,"['C5', 'C4', 'C3']",[1],[],[],[],55
2020,1,Austrian Grand Prix,"['C4', 'C3', 'C2']","[20, 24, 31, 49, 53, 67, 68]","[24, 25, 26, 27, 28, 29, 30, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",[],[],68
2020,2,Styrian Grand Prix,"['C4', 'C3', 'C2']",[4],"[1, 2, 3]",[],[],71
2020,3,Hungarian Grand Prix,"['C4', 'C3', 'C2']","[4, 42]",[],[],[],70
2020,4,British Grand Prix,"['C3', 'C2', 'C1']","[2, 12, 48]","[2, 3, 4, 5, 12, 13, 14, 15, 16, 17, 18]",[],[],52
2020,5,70th Anniversary Grand Prix,"['C4', 'C3', 'C2']","[1, 31]",[],[],[],52
2020,6,Spanish Grand Prix,"['C3', 'C2', 'C1']","[36, 37]",[],[],[],66
2020,7,Belgian Grand Prix,"['C4', 'C3', 'C2']","[10, 44]","[10, 11, 12, 13, 14]",[],[],44
2020,8,Italian Grand Prix,"['C4', 'C3', 'C2']","[8, 19, 20, 24, 25]","[20, 21, 22, 23, 25, 26]",[],[26],53
2020,9,Tuscan Grand Prix,"['C3', 'C2', 'C1']","[1, 7, 43]","[1, 2, 3, 4, 5, 6, 7, 8, 43, 44, 45]",[],"[8, 45]",59
2020,10,Russian Grand Prix,"['C5', 'C4', 'C3']","[1, 42]","[1, 2, 3, 4, 5]",[42],[],53
2020,11,Eifel Grand Prix,"['C4', 'C3', 'C2']","[13, 16, 17, 18, 19, 43, 44]","[44, 45, 46, 47, 48, 49]",[16],[],60
2020,12,Portuguese Grand Prix,"['C3', 'C2', 'C1']",[1],[],[],[],66
