year,round,grand_prix,finish_position,number,driver,constructor,stint_compounds,stint_lengths,total_stops,total_laps
2018,1,Australian Grand Prix,1,5,VET,Ferrari,"['US', 'S']","[26, 32]",1,58
2018,1,Australian Grand Prix,2,44,HAM,Mercedes,"['US', 'S']","[19, 39]",1,58
2018,1,Australian Grand Prix,3,7,RAI,Ferrari,"['US', 'S']","[18, 40]",1,58
2018,1,Australian Grand Prix,4,3,RIC,Red Bull Racing,"['SS', 'S']","[26, 32]",1,58
2018,1,Australian Grand Prix,5,14,ALO,McLaren,"['US', 'S']","[26, 32]",1,58
2018,1,Australian Grand Prix,6,33,VER,Red Bull Racing,"['SS', 'S']","[21, 37]",1,58
2018,1,Australian Grand Prix,7,27,HUL,Renault,"['US', 'S']","[24, 34]",1,58
2018,1,Australian Grand Prix,8,77,BOT,Mercedes,"['US', 'SS']","[25, 33]",1,58
2018,1,Australian Grand Prix,9,2,VAN,McLaren,"['US', 'SS']","[25, 33]",1,58
2018,1,Australian Grand Prix,10,55,SAI,Renault,"['US', 'S']","[22, 36]",1,58
2018,1,Australian Grand Prix,11,11,PER,Force India,"['US', 'S']","[24, 34]",1,58
2018,1,Australian Grand Prix,12,31,OCO,Force India,"['US', 'S']","[23, 35]",1,58
2018,1,Australian Grand Prix,13,16,LEC,Sauber,"['SS', 'S', 'US']","[20, 7, 31]",2,58
2018,1,Australian Grand Prix,14,18,STR,Williams,"['SS', 'S', 'US']","[25, 4, 29]",2,58
2018,1,Australian Grand Prix,15,28,HAR,Toro Rosso,"['S', 'US']","[22, 35]",1,57
2018,1,Australian Grand Prix,DNF,8,GRO,Haas F1 Team,['US'],[24],0,24
2018,1,Australian Grand Prix,DNF,20,MAG,Haas F1 Team,['US'],[22],0,22
2018,1,Australian Grand Prix,DNF,10,GAS,Toro Rosso,['US'],[13],0,13
2018,1,Australian Grand Prix,DNF,9,ERI,Sauber,['SS'],[5],0,5
2018,1,Australian Grand Prix,DNF,35,SIR,Williams,['SS'],[4],0,4
2018,2,Bahrain Grand Prix,1,5,VET,Ferrari,"['SS', 'S']","[18, 39]",1,57
2018,2,Bahrain Grand Prix,2,77,BOT,Mercedes,"['SS', 'M']","[20, 37]",1,57
2018,2,Bahrain Grand Prix,3,44,HAM,Mercedes,"['S', 'M']","[26, 31]",1,57
2018,2,Bahrain Grand Prix,4,10,GAS,Toro Rosso,"['SS', 'S', 'SS']","[15, 19, 23]",2,57
2018,2,Bahrain Grand Prix,5,20,MAG,Haas F1 Team,"['SS', 'SS', 'S']","[13, 14, 30]",2,57
